[20:38:40.4455980] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.000, 0.000, 0.502, 1.000)
[20:38:40.4455980] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[20:38:40.4455980] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[20:38:40.4455980] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[20:38:40.4481067] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[20:38:40.4491070] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[20:38:40.4491070] [Debug  : LethalMin] SetGhostColor set to True
[20:38:40.4491070] [Debug  : LethalMin] DisableRegistration set to False
[20:38:40.4491070] [Debug  : LethalMin] SetColorOnSprout set to True
[20:38:40.4491070] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[20:38:40.4491070] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[20:38:40.4501067] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[20:38:40.4501067] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[20:38:40.4511067] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[20:38:40.4511067] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[20:38:40.4511067] [Debug  : LethalMin] DefaultSpeed set to 1
[20:38:40.4511067] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[20:38:40.4511067] [Debug  : LethalMin] CarryStrength set to 3
[20:38:40.4526114] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[20:38:40.4526114] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[20:38:40.4526114] [Debug  : LethalMin] ItemDetectionRange set to 5
[20:38:40.4526114] [Debug  : LethalMin] CanLatchOnToObjects set to True
[20:38:40.4526114] [Debug  : LethalMin] CanJumpOntoObjects set to True
[20:38:40.4541246] [Debug  : LethalMin] CanCarryObjects set to True
[20:38:40.4541246] [Debug  : LethalMin] AttackStrength set to 1
[20:38:40.4541246] [Debug  : LethalMin] AttackRate set to 0.5
[20:38:40.4541246] [Debug  : LethalMin] AttackDistance set to 0.5
[20:38:40.4541246] [Debug  : LethalMin] JumpLatchOnRange set to 5
[20:38:40.4541246] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[20:38:40.4541246] [Debug  : LethalMin] DeathDamageRange set to 0
[20:38:40.4541246] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[20:38:40.4541246] [Debug  : LethalMin] ShakeEndurance set to 0.75
[20:38:40.4541246] [Debug  : LethalMin] SpawnsIndoors set to False
[20:38:40.4541246] [Debug  : LethalMin] SpawnsOutdoors set to True
[20:38:40.4551289] [Debug  : LethalMin] SpawnsAsSprout set to True
[20:38:40.4551289] [Debug  : LethalMin] UsesPikminContainer set to False
[20:38:40.4551289] [Debug  : LethalMin] SpawnAfterDay set to -1
[20:38:40.4551289] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[20:38:40.4551289] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
